"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,4.8269072439354,0.393,0.021,0,15,"Ifit2"
2.88021366415351e-232,4.82427124006829,0.351,0.031,1.16976997755931e-227,69,"Ackr3"
0,4.81313427846953,0.819,0.094,0,21,"Trpc5"
4.28291191940492e-293,4.80443563249795,0.647,0.039,1.73946184694712e-288,250,"Emx2"
0,4.79826798665136,0.471,0.019,0,185,"Sncg"
0,4.79756675333002,0.287,0.011,0,91,"Gbx1"
0,4.79282113278298,0.504,0.055,0,21,"Sphkap"
1.20705902116022e-207,4.79237102888924,0.379,0.022,4.9023495085401e-203,228,"Hist1h2bc"
4.14917035395067e-209,4.79219898329087,0.494,0.036,1.68514404755353e-204,230,"Ccbe1"
0,4.79140739776923,0.376,0.012,0,18,"Drd1"
3.67749755867553e-52,4.78812498763966,0.88,0.337,1.49357885848048e-47,270,"Grm7"
0,4.7842320761136,0.342,0.014,0,100,"Emx2os"
0,4.78413891403609,0.224,0.01,0,39,"Slc30a3"
3.51658006740173e-138,4.77785288068234,0.431,0.046,1.42822382857454e-133,211,"Agrp"
0,4.77749173914211,0.407,0.017,0,38,"Otx2"
1.30676115264386e-292,4.77218500991325,0.621,0.064,5.30727974534779e-288,136,"Sst"
0,4.77040879529422,0.497,0.024,0,15,"Myo5b"
0,4.77001265267884,0.275,0.014,0,69,"Lhx8"
0,4.76839378265091,0.64,0.039,0,149,"Onecut3"
0,4.76587241721151,0.463,0.015,0,18,"Relt"
0,4.76123840876941,0.474,0.025,0,130,"Nhlh1"
4.91292866479395e-264,4.7597694990623,0.224,0.01,1.99533684791941e-259,97,"Slc30a3"
0,4.75280841396041,0.651,0.029,0,18,"Cobll1"
0,4.74470125492152,0.315,0.019,0,16,"Prrx1"
0,4.74338133509538,0.737,0.108,0,19,"Pomc"
0,4.73725761606704,0.609,0.032,0,120,"Prdm8"
2.30104677300288e-251,4.73145785585333,0.201,0.008,9.34547136387391e-247,128,"Enpp1"
4.38747862213366e-263,4.72805430932526,0.362,0.021,1.78193056759337e-258,164,"Sp5"
0,4.72720236097789,0.521,0.033,0,112,"Dgkg"
1.69321815977314e-23,4.72455417189284,0.253,0.042,6.87683623410261e-19,270,"Rgs6"
0,4.72182266119355,0.933,0.04,0,128,"Foxb1"
0,4.71647565519603,0.471,0.025,0,153,"Nhlh1"
0,4.71313522321154,0.417,0.019,0,158,"Crybg3"
0,4.70698073986638,0.958,0.093,0,18,"Col25a1"
1.10624362997774e-213,4.70632028766454,0.243,0.021,4.49289787879157e-209,6,"Csgalnact1"
3.71382052056618e-282,4.70211771705107,0.619,0.108,1.50833106622275e-277,3,"Pomc"
2.99453761748605e-44,4.69651836487264,0.53,0.104,1.21620150796578e-39,270,"Adamtsl1"
1.04790941164292e-304,4.69611626666581,0.955,0.14,4.25597928444654e-300,188,"Pou6f2"
0,4.69080177351811,0.436,0.042,0,20,"Sstr2"
2.26875871178867e-264,4.68495320198079,0.377,0.023,9.2143366320585e-260,167,"Slc9a3r1"
1.02628256175163e-228,4.68413774168754,0.214,0.013,4.16814399629806e-224,35,"Drd1"
2.93915874470177e-237,4.68216905623219,0.233,0.011,1.19370993257318e-232,135,"Adamtsl3"
7.57345365554107e-236,4.68112062163154,0.481,0.035,3.07588246766145e-231,211,"Npy"
2.88669359464994e-282,4.67848505452855,0.38,0.02,1.17240173653113e-277,192,"Trh"
3.7032987488146e-288,4.67839567659058,0.287,0.015,1.50405775384356e-283,90,"Wif1"
0,4.67731686016251,0.243,0.009,0,18,"Dynlrb2"
0,4.6749672356497,0.233,0.006,0,18,"Sgpp2"
0,4.67459681190783,0.517,0.025,0,90,"Barhl2"
5.96147438489972e-272,4.67417108572424,0.272,0.016,2.42119320668317e-267,71,"Cpne7"
0,4.6719101925707,0.312,0.011,0,18,"Avpr1a"
3.7548535433101e-298,4.67002349957076,0.984,0.14,1.52499621807996e-293,206,"Pou6f2"
4.1543597616961e-213,4.66900065957341,0.209,0.01,1.68725167361525e-208,127,"Pmaip1"
0,4.66281165159582,0.882,0.039,0,38,"Foxb1"
0,4.65764896644368,0.881,0.11,0,18,"Vgf"
0,4.65752728349147,0.771,0.085,0,153,"Phldb2"
0,4.65479653804909,0.254,0.009,0,18,"Cmtm8"
4.75126529333303e-183,4.65474955998463,0.326,0.024,1.92967888623428e-178,171,"Dio3"
0,4.64520455193678,0.538,0.031,0,205,"Rnf128"
4.16885294115957e-31,4.64460804587292,0.208,0.03,1.69313793352255e-26,258,"Rspo3"
0,4.64460716036657,0.725,0.032,0,120,"Asic4"
2.27468688925408e-273,4.64055079794488,0.266,0.013,9.23841333201651e-269,112,"Drd1"
0,4.63230524481179,0.854,0.038,0,16,"Foxb1"
0,4.63149550664806,0.381,0.021,0,38,"Otx2os1"
0,4.63088758258016,0.734,0.076,0,163,"Pkib"
0,4.62925373069856,0.556,0.033,0,107,"Lhx6"
0,4.6248044995892,0.441,0.033,0,35,"Dgkg"
8.2831852047473e-191,4.62471769115255,0.233,0.015,3.36413283905607e-186,87,"Slc7a3"
0,4.62458172492519,0.479,0.036,0,20,"Ntng2"
0,4.62350032618384,0.531,0.031,0,139,"Rnf128"
0,4.61963994658038,0.41,0.014,0,18,"Trmt9b"
1.50485453744466e-213,4.60747554440732,0.683,0.065,6.11181621837774e-209,243,"Gpx3"
0,4.6041314073401,0.852,0.12,0,21,"Rtl4"
0,4.60340328060161,0.271,0.014,0,16,"Olig2"
1.47998563184273e-164,4.6015876127715,0.255,0.011,6.01081364516606e-160,243,"Pcdh20"
0,4.59756520531713,0.433,0.03,0,53,"Cd9"
0,4.59745775929835,0.347,0.016,0,93,"Wnt7b"
2.20938266733987e-292,4.5970635994705,0.369,0.018,8.97318676513415e-288,185,"Sim2"
0,4.59595131524565,0.26,0.013,0,45,"Htr3a"
0,4.59090546473695,0.709,0.06,0,153,"Rhbdl3"
1.37281581947683e-302,4.57198878185156,0.758,0.061,5.57555416922318e-298,228,"March1"
1.00948215343648e-93,4.56664588222522,0.43,0.037,4.09991081796692e-89,268,"Plpp4"
1.09548328576886e-62,4.56655335189221,0.431,0.03,4.44919581682163e-58,272,"Rasgrp1"
0,4.56552674592887,0.667,0.06,0,16,"Fezf2"
0,4.5608017451603,0.791,0.085,0,131,"Cbln2"
1.30386098048335e-298,4.55956078968262,0.56,0.044,5.29550098613507e-294,168,"Vgll2"
0,4.55591223404142,0.652,0.032,0,38,"Pitx2"
0,4.55350157090607,0.592,0.038,0,142,"Mbnl3"
1.88327216466301e-214,4.55152354739281,0.294,0.017,7.64872156956233e-210,166,"Cryba1"
0,4.54388287322416,0.565,0.025,0,93,"Barhl2"
