"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"Cdc20",0,5.09620213914798,0.826,0.052,0,27
"Cks2",0,4.38813790263911,0.895,0.123,0,27
"Ube2c",0,3.8869109566381,0.856,0.089,0,27
"Ccna2",0,4.43564041265534,0.779,0.046,0,27
"Ccnb1",0,4.52868874895088,0.771,0.041,0,27
"Mki67",0,3.62247414795389,0.715,0.049,0,27
"Racgap1",0,3.48243545574349,0.759,0.097,0,27
"Tacc3",0,3.91396312880654,0.732,0.072,0,27
"Lockd",0,3.82365790097347,0.706,0.051,0,27
"Cenpe",0,3.98033331390826,0.702,0.05,0,27
"Pimreg",0,4.43590121813656,0.69,0.049,0,27
"Nde1",0,3.79715106690142,0.718,0.084,0,27
"Rrm2",0,3.26477918265912,0.686,0.087,0,27
"Pbk",0,3.68719292599172,0.64,0.048,0,27
"Spc24",0,3.34385586713875,0.588,0.058,0,27
"Mad2l1",0,3.68304468079637,0.562,0.055,0,27
"Cenpw",0,3.2541388380084,0.6,0.097,0,27
"Ckap2",0,3.61418683031278,0.567,0.067,0,27
"Hmmr",0,4.26620295248566,0.521,0.028,0,27
"Cdkn3",0,4.46849130356638,0.511,0.03,0,27
"Dlgap5",0,4.22234414559365,0.489,0.029,0,27
"Bub1b",0,3.92368309759216,0.495,0.036,0,27
"Kif22",0,3.54036457536204,0.485,0.046,0,27
"Cenpm",0,3.46004994704734,0.486,0.051,0,27
"Psrc1",0,4.35142317344611,0.444,0.023,0,27
"Aspm",0,3.87037239674057,0.445,0.029,0,27
"Bub1",0,3.95144718932256,0.444,0.029,0,27
"Nuf2",0,3.87102834740444,0.443,0.034,0,27
"Cip2a",0,3.90195886157413,0.44,0.036,0,27
"Kif2c",0,4.20368095210904,0.396,0.025,0,27
"Hmgb2",0,3.37426456908075,0.995,0.639,0,27
"Tuba1c",0,4.45174016025962,0.358,0.016,0,27
"Plk1",0,3.73511318642395,0.343,0.025,0,27
"Ckap2l",0,3.43912166937921,0.353,0.035,0,27
"Cdc25c",0,3.9215740366644,0.318,0.02,0,27
"Kif20a",0,3.90516085197568,0.307,0.023,0,27
"Cep55",0,3.286126084863,0.303,0.028,0,27
"Sgo1",0,3.18697831163566,0.303,0.033,0,27
"Sgo2a",0,3.49907451272785,0.297,0.029,0,27
"Ncapg",0,3.17222930566513,0.297,0.03,0,27
"Ska1",0,3.46743015693376,0.267,0.023,0,27
"Arhgap11a",0,3.29103081333062,0.251,0.028,0,27
"Ebf2",0,4.61904108785259,0.819,0.059,0,28
"Ebf3",0,3.90845586274932,0.819,0.072,0,28
"Neurod1",0,3.9354459929105,0.815,0.095,0,28
"Mfap4",0,3.64231580057638,0.758,0.098,0,28
"Mfng",0,2.77142921574614,0.801,0.154,0,28
"Ppp1r14a",0,4.69560083816909,0.695,0.051,0,28
"Neurog2",0,4.76508338432641,0.685,0.049,0,28
"Uncx",0,3.04470016803085,0.761,0.127,0,28
"C130093G08Rik",0,2.940635314006,0.772,0.146,0,28
"Nhlh2",0,2.79919018559595,0.829,0.21,0,28
"Igsf8",0,3.23645410524243,0.85,0.239,0,28
"Epha3",0,3.79924684642917,0.793,0.187,0,28
"Fam110a",0,3.12045673802908,0.801,0.208,0,28
"Tmem163",0,2.83248663825751,0.865,0.279,0,28
"Sim1",0,3.19675967737882,0.703,0.134,0,28
"Dll3",0,2.67649687122093,0.742,0.182,0,28
"Nhlh1",0,4.86630542933967,0.569,0.025,0,28
"Frmd4b",0,2.91839805499135,0.885,0.349,0,28
"Nrn1",0,3.12150577746572,0.629,0.102,0,28
"Rnd2",0,2.83583843014696,0.752,0.232,0,28
"Ccnd1",0,3.58075646599372,0.738,0.22,0,28
"Clvs1",0,2.821953440732,0.782,0.271,0,28
"Rspo3",0,5.61376293492521,0.537,0.027,0,28
"Eya2",0,5.08969872266191,0.534,0.028,0,28
"Bhlhe22",0,4.06723966380017,0.527,0.046,0,28
"Otp",0,2.57089231413821,0.698,0.218,0,28
"Rhbdl3",0,2.76393697772872,0.598,0.122,0,28
"Foxp4",0,2.5299926723827,0.635,0.172,0,28
"Sstr2",0,4.11296558012442,0.485,0.04,0,28
"Rgs16",0,2.68322784840145,0.55,0.119,0,28
"Gamt",0,2.98251633183868,0.521,0.09,0,28
"Dmrta2",0,4.53459536135871,0.457,0.026,0,28
"Nkd1",0,2.90986303206906,0.525,0.108,0,28
"Scrt2",0,2.81512089434274,0.501,0.094,0,28
"Cntn2",0,3.23083741923597,0.418,0.065,0,28
"Abcd2",0,2.89188757403141,0.422,0.069,0,28
"Chrna3",0,3.4195594352285,0.398,0.05,0,28
"Wscd2",0,2.48850810161912,0.458,0.116,0,28
"Neurod2",0,3.10144714140389,0.33,0.024,0,28
"Eomes",0,5.2923801406906,0.318,0.014,0,28
"Zbtb16",0,2.52178388112396,0.378,0.076,0,28
"Klhl35",0,2.61874640489118,0.351,0.065,0,28
"Angpt1",0,3.04685076355318,0.348,0.063,0,28
"Neurog1",0,5.81920441712009,0.29,0.007,0,28
"4930438E09Rik",0,4.91426015246265,0.293,0.012,0,28
"Akr1b8",0,2.94959450174482,0.304,0.045,0,28
"Rassf4",0,2.99564870831273,0.281,0.043,0,28
"Cmtm7",0,2.64160713190198,0.269,0.042,0,28
"Mab21l2",0,2.98604122849106,0.253,0.03,0,28
"Crybg3",0,3.31067122642506,0.25,0.03,0,28
"Nhlh2",0,3.21773299330382,0.899,0.211,0,29
"Pantr1",0,3.32785870189696,0.908,0.23,0,29
"Ebf3",0,3.63507247025375,0.745,0.076,0,29
"Nrn1",0,3.58721462774913,0.742,0.102,0,29
"Uncx",0,3.1452895052165,0.755,0.13,0,29
"Sim1",0,3.11038797027484,0.759,0.135,0,29
"Tmem163",0,2.82568732088744,0.894,0.281,0,29
"Nxph4",0,3.6209171284332,0.66,0.091,0,29
"Emx2",0,4.28472417612552,0.599,0.047,0,29
"Gm27199",0,2.83129955959708,0.736,0.191,0,29
"Otx2os1",0,5.08348802758526,0.573,0.035,0,29
"Lhx5",0,2.72827571076412,0.724,0.188,0,29
"Pitx2",0,5.09611036866076,0.556,0.027,0,29
"Ppp1r14a",0,3.89436328846497,0.585,0.056,0,29
"Neurog2",0,4.52005931958373,0.572,0.053,0,29
"Neurod1",0,2.98080886967336,0.618,0.1,0,29
"Pou3f3",0,2.62597282981345,0.658,0.143,0,29
"Nkx2-4",0,2.20642079730505,0.786,0.272,0,29
"Rgmb",0,2.42071756597781,0.792,0.281,0,29
"Spock1",0,2.61385622297719,0.779,0.272,0,29
"Cacna2d1",0,2.69368861268208,0.965,0.466,0,29
"Otx2",0,4.42272475199333,0.522,0.035,0,29
"Galnt9",0,3.56069100792072,0.578,0.098,0,29
"Pou3f4",0,2.81197423152888,0.592,0.115,0,29
"Mfng",0,2.18473038108988,0.62,0.159,0,29
"Ebf2",0,3.31436764888254,0.517,0.067,0,29
