"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.2527377795754e-213,1.45959838366675,0.67,0.389,9.14926921796755e-209,"30","Sirt2"
2.45608237421276e-213,2.06863475209031,0.345,0.104,9.97513295462769e-209,"30","Socs3"
2.64852701825384e-212,1.3132856267872,0.767,0.516,1.07567276319361e-207,"30","Elof1"
3.97945922718406e-212,0.812767392117945,0.933,0.789,1.61621757052853e-207,"30","Ppib"
7.17477994963538e-212,2.28016390278811,0.363,0.118,2.91396512874491e-207,"30","Actn1"
1.63187689348682e-211,1.12302535886209,0.748,0.383,6.62770481520736e-207,"30","Sfta3-ps"
5.15482129185554e-211,1.31157090945793,0.603,0.274,2.09357911947421e-206,"30","Rgma"
8.17367589125766e-211,1.87399765234712,0.466,0.181,3.31965672647539e-206,"30","Mpst"
9.92975167455637e-211,1.27454770330315,0.774,0.504,4.03286934510432e-206,"30","Atp6v0e"
1.09636342700388e-210,2.38742959113429,0.264,0.066,4.45277042243357e-206,"30","Stard10"
1.30799806205453e-210,1.5503181478896,0.628,0.317,5.31230332922826e-206,"30","Abcd3"
1.82478321696511e-210,2.37711890536355,0.363,0.118,7.41117455738211e-206,"30","Sat1"
3.18026405355222e-210,2.20831984416924,0.313,0.09,1.2916324427097e-205,"30","Slc39a1"
5.36609208346198e-210,1.86521548790732,0.914,0.865,2.17938463877725e-205,"30","Cpe"
2.30941058373205e-209,1.91781464928439,0.38,0.124,9.37944014476934e-205,"30","Hadh"
7.78122552672173e-209,1.71058926855593,0.51,0.212,3.16026693542276e-204,"30","Cep126"
5.13798515763706e-208,2.00146034101727,0.358,0.114,2.08674129192272e-203,"30","Il6st"
6.07545622950585e-208,1.48689684233722,0.414,0.138,2.4674857930515e-203,"30","Shisa9"
2.43518400911333e-207,1.78377231676325,0.396,0.132,9.89025633461289e-203,"30","B3gat2"
5.00342998322048e-207,2.16111914791719,0.318,0.092,2.03209305338517e-202,"30","Ifngr1"
5.72580489562492e-207,1.24015188683675,0.787,0.593,2.32547840030911e-202,"30","Chmp4b"
6.85782630594065e-207,1.86946863886348,0.443,0.166,2.78523757589474e-202,"30","Gldc"
9.8720036919306e-206,2.37001960442409,0.269,0.069,4.0094155794407e-201,"30","Btd"
2.56191535287009e-205,1.5803431731614,0.538,0.234,1.04049630141466e-200,"30","Ucp2"
3.77858594762146e-205,1.49699626706429,0.846,0.605,1.53463489676698e-200,"30","Cmss1"
6.20906482091813e-205,1.41960442207282,0.642,0.332,2.52174958636769e-200,"30","Phkb"
1.19033229984873e-204,2.3351141303876,0.254,0.063,4.83441560260564e-200,"30","Trp53i13"
4.7502776825455e-204,1.46954476569978,0.705,0.428,1.92927777798903e-199,"30","Cetn2"
6.96667443940105e-204,1.93722294436715,0.482,0.202,2.82944515681834e-199,"30","Hipk1"
2.43195015932821e-203,1.69323075519985,0.561,0.269,9.8771223770956e-199,"30","2610301B20Rik"
1.23013642582744e-201,2.31501704537619,0.261,0.067,4.99607607985557e-197,"30","Tctn3"
1.59160578006238e-200,1.58697678420309,0.629,0.335,6.46414771514536e-196,"30","Gm17018"
3.18343244502359e-200,1.89115802260379,0.456,0.18,1.29291925322188e-195,"30","Tmem218"
1.37450871086581e-199,1.53396973664809,0.578,0.282,5.58242967831039e-195,"30","Rnf13"
2.34720044780924e-199,1.16134373074373,0.74,0.421,9.53291989873247e-195,"30","Lpp"
1.56017454819625e-198,1.16247220359178,0.796,0.595,6.33649291004426e-194,"30","Gpx4"
1.84013731736931e-198,2.06973375359116,0.393,0.139,7.4735337007637e-194,"30","Rida"
2.71471148580777e-197,2.15554101444966,0.252,0.063,1.10255292284597e-192,"30","Tpcn1"
5.27548563813434e-197,2.26787729966788,0.267,0.071,2.14258573707188e-192,"30","Fam185a"
2.16831295514587e-196,2.15140429065111,0.396,0.142,8.80638623602942e-192,"30","Thsd4"
3.56605332445776e-196,0.89087798098849,0.948,0.815,1.44831689719528e-191,"30","Hsp90b1"
1.55716737378971e-195,2.07848785588866,0.335,0.105,6.32427957190954e-191,"30","Cib1"
1.75577193209812e-195,1.09372621446758,0.676,0.337,7.13089212502331e-191,"30","Ptprk"
2.07293627935591e-193,1.9234906004612,0.339,0.108,8.41902340497608e-189,"30","Tspan9"
2.89626927101473e-193,1.92527626047754,0.309,0.091,1.17629080172992e-188,"30","Megf10"
1.27083084958948e-192,1.77243882304447,0.772,0.588,5.1613524125227e-188,"30","Sik3"
2.38966063139296e-192,1.90146528113986,0.416,0.156,9.70536768833936e-188,"30","Pttg1ip"
4.35050581488444e-192,1.6827737205194,0.461,0.182,1.76691443165717e-187,"30","Lgr4"
5.04821412418565e-192,1.56724481146723,0.581,0.29,2.05028168439676e-187,"30","Ift57"
1.16488461567502e-191,1.98007803265093,0.343,0.11,4.73106237810251e-187,"30","Ift80"
3.34427169109505e-191,1.6045090469565,0.484,0.199,1.35824250462134e-186,"30","Ccdc148"
9.66254535972263e-191,2.11121378442925,0.256,0.066,3.92434617239775e-186,"30","Raver2"
2.66650216457289e-190,1.64616082927563,0.573,0.297,1.08297318911963e-185,"30","Atp1a1"
3.08210678495978e-190,1.27392164372965,0.768,0.539,1.25176684964357e-185,"30","Cfap36"
1.51905411094398e-189,1.05219885707923,0.858,0.683,6.16948636618787e-185,"30","Tomm7"
1.41376300605932e-188,1.61617581517272,0.551,0.261,5.74185707280933e-184,"30","Krcc1"
1.74313934935784e-188,1.46421684008625,0.657,0.367,7.07958615348192e-184,"30","Tacc1"
1.031749448742e-187,1.4844805368344,0.696,0.432,4.19034721112075e-183,"30","Fam162a"
1.48857315135254e-187,1.37273224877239,0.344,0.105,6.04569099690322e-183,"30","AW047730"
1.23908955300268e-186,1.94003979134723,0.347,0.115,5.03243831056507e-182,"30","Ppp2r5a"
1.98249683509404e-186,1.21727843377942,0.775,0.507,8.05171264605093e-182,"30","Hmgn3"
2.71770335674831e-185,1.91172543519984,0.36,0.123,1.10376804130976e-180,"30","Plat"
7.30573134976923e-185,0.896637942859218,0.864,0.687,2.96714973039528e-180,"30","Prdx1"
8.62884693748123e-185,1.69065955679381,0.474,0.201,3.50451989518863e-180,"30","Ttll5"
1.48488038490454e-184,1.46708890952458,0.668,0.383,6.0306931952513e-180,"30","Sncaip"
2.65973773513932e-184,2.47259832472888,0.27,0.077,1.08022588374948e-179,"30","Nat8f1"
9.06595503497533e-184,1.44559303745511,0.646,0.362,3.68204697790488e-179,"30","Ift43"
9.21039289078084e-184,1.37578776508126,0.691,0.425,3.74070896866173e-179,"30","Rpgr"
1.90908571917028e-183,1.34002144085305,0.691,0.447,7.75356073983818e-179,"30","Ost4"
6.27065227802665e-183,1.71654289919288,0.432,0.169,2.54676271619774e-178,"30","Rgl1"
1.55426995362423e-181,1.62983731544269,0.515,0.238,6.31251198964944e-177,"30","Tmem216"
2.31489241246474e-181,1.24281888118147,0.578,0.278,9.40170404398431e-177,"30","Kcnip4"
3.7115850291881e-181,1.28286619415581,0.703,0.416,1.50742314375446e-176,"30","Nkain2"
